,portion,Time,Level,Exception,Category,Recipe,Product,Protein,Fat,Kkal,Carbs,Клетчатка,Ca,Fe,Mg,P,Kali,Na,Zn,Cu,Se,A,Bcar,E,D,C,B1,B2,PP,B6,B9,B12,B4,K
87,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-curry,Slow-cooker chicken curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/crispy-cod-fingers-wedges-dill-slaw,Crispy cod fingers with wedges & dill slaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/prawn-tikka-masala,Prawn tikka masala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/smoked-haddock-creamed-corn-curry,Smoked haddock & creamed corn curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/summer-fish-stew,Summer fish stew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/smoked-salmon-spaghetti-chilli-lemon,Smoked salmon pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/creamy-garlic-lemon-spinach-salmon,"Creamy garlic, lemon & spinach salmon",0.55,0.05,30,2.12,0.75,8,0.195,6,12,121.5,9,0.055,0.05,0.35,166,1991,0.26,0,4.8,0.013,0.017,0.192,0.0565,5,0,6.55,0.75
94,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/cod-butter-bean-colcannon,Cod with butter bean colcannon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/prawn-beansprout-omelette-baguette,"
Prawn & beansprout omelette baguette",3.295,4.79,165,8.025,1.15,67.5,0.925,8.5,195.5,66.5,299.5,0.335,0.0365,4.35,17.5,13,0.255,0,0.05,0.095,0.0875,1.002,0.0425,27.5,0.115,29.35,1.85
96,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/haddock-cannelloni-beans-artichokes,Haddock with cannellini beans & artichokes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/tuna-sweet-potato-jackets,Tuna sweet potato jackets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/raid-cupboard-tuna-sweetcorn-cakes,Tuna & sweetcorn fish cakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/sicilian-style-tuna-lasagne,Sicilian-style tuna lasagne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/tuna-sundried-tomato-pasta-bake,Tuna & sundried tomato pasta bake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/salmon-pasta-salad-lemon-capers,Salmon pasta salad with lemon & capers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/tuna-sweetcorn-slice,Tuna & sweetcorn slice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/prawn-coconut-laksa,Prawn & coconut laksa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/tuna-pasta-bake,Tuna pasta bake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/gluten-free-storecupboard-fishcakes,Gluten-free storecupboard fishcakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/onepot-coconut-fish-curry,One-pot coconut fish curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/fastest-ever-fish-pie,Fastest-ever fish pie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/meatball-tomato-soup,Meatball & tomato soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
